,ASSESSED_LAND_VALUE,ASSESSED_TOTAL_VALUE,ASSESSED_IMP_VALUE,ZIP,BATH,BED,AGE,STORIES,GARAGE_TYPE,PARKING,TOTAL_UNITS,LAND_USE,POOL,FIREPLACE,PROPERTY_TYPE,BUILDING_AREA,LOT_SIZE,FIDELITY_LATITUDE,FIDELITY_LONGITUDE
200,316804.0,234350.0,551154.0,94087,2.0,3,51.0,1,G,2,0,1001,,,,1524,10454.0,37.340632,-122.004023
201,85551.0,50191.0,135742.0,95124,2.0,2,2.0,1,C,0,0,1004,,,,1590,436.0,37.271336,-121.905429
202,173588.0,334662.0,508250.0,95148,2.5,4,13.0,2,G,2,0,1001,,,,2376,4792.0,37.317524999999996,-121.772271
203,716117.0,232735.0,948852.0,94087,2.0,4,49.0,2,G,2,0,1001,,,,1839,8276.0,37.358376,-122.055857
204,135147.0,315344.0,450491.0,94605,2.0,4,50.0,1,G,0,0,1001,,,,1897,6900.0,37.746252,-122.136839
205,98100.0,228900.0,327000.0,94501,2.0,2,37.0,3,,0,0,1004,,,,1053,3.0699999,37.764184,-122.270049
206,270251.0,193749.0,464000.0,94523,2.0,2,28.0,,Y,2,0,1001,,,,1303,5000.0,37.979755,-122.074951
207,40173.0,86440.0,126613.0,94619,6.0,10,45.0,2,G,0,4,1103,,,,4184,4949.0,37.789926,-122.188484
208,20452.0,52208.0,72660.0,94551,0.0,0,37.0,,,0,0,1001,,,,1582,8406.0,37.681489,-121.801982
209,123701.0,246647.0,370348.0,95127,3.0,5,30.0,2,G,2,0,1001,P,,,2673,12632.0,37.376442,-121.813905
210,282000.0,96700.0,378700.0,95133,2.0,3,31.0,1,G,2,0,1001,,,,1041,5663.0,37.370694,-121.849318
211,198715.0,68785.0,267500.0,94519,2.0,2,60.0,,Y,1,0,1001,,,,1149,7500.0,37.985800000000005,-122.009688
212,67820.0,125215.0,193035.0,94513,2.0,3,14.0,,Y,2,0,1001,,,,1211,5700.0,37.920083999999996,-121.693208
213,64000.0,227000.0,291000.0,94585,2.0,3,13.0,1,G,2,0,1001,,Y,,1962,7841.0,38.239802,-122.001761
214,170494.0,378312.0,548806.0,95023,0.0,0,,,,0,0,1008,,,,0,2.46,36.853936,-121.353144
215,36424.0,102728.0,139152.0,95008,1.0,2,38.0,2,G,1,0,1004,,,CND,903,1742.0,37.291491,-121.94642999999999
216,402662.0,268440.0,671102.0,94127,1.0,0,66.0,1,,0,0,1001,,,,750,2530.0,37.740815,-122.447182
217,22766.0,81257.0,104023.0,95136,2.0,4,33.0,1,G,2,0,1001,,,,1581,6534.0,37.272763999999995,-121.832763
218,121500.0,283500.0,405000.0,94607,2.0,3,11.0,4,,0,0,1004,,,,1274,1.38,37.803045,-122.275055
219,92554.0,219316.0,311870.0,94580,1.0,3,58.0,1,G,3,0,1001,,,,1272,22350.0,37.686411,-122.118636
220,58290.0,138438.0,196728.0,94601,3.0,3,57.0,2,,0,3,1102,,,,2123,4495.0,37.786668,-122.219875
221,109993.0,256513.0,366506.0,94566,2.0,3,33.0,,,0,0,1001,,,,1722,8400.0,37.682286999999995,-121.883973
222,219706.0,140746.0,360452.0,94526,2.0,4,61.0,,Y,2,0,1001,,,,1921,19500.0,37.826736,-121.999315
223,300000.0,200000.0,500000.0,94124,2.0,3,28.0,1,,0,0,1001,,,,1800,1912.0,37.736927,-122.387039
224,55914.0,189860.0,245774.0,95472,2.0,3,31.0,1,,0,1,1008,P,1,,2187,1.05,38.421789,-122.87355
225,504000.0,216000.0,720000.0,94116,2.0,0,61.0,1,,0,0,1001,,,,1271,2996.0,37.750302,-122.50324
226,407100.0,219300.0,626400.0,95120,2.5,3,16.0,2,G,3,0,1004,,,,1739,871.0,37.207435,-121.844687
227,0.0,0.0,0.0,95035,0.0,0,,,,0,0,8001,,,,0,9.1199999,0.0,0.0
228,96678.0,257824.0,354502.0,94550,2.0,3,38.0,1,G,2,0,1001,P,,,2160,10424.0,37.658145999999995,-121.782968
229,511723.0,439277.0,951000.0,94582,2.5,4,6.0,,Y,3,0,1001,,,,2760,8653.0,37.776371999999995,-121.914031
230,125000.0,235800.0,360800.0,95023,0.0,0,,,,0,0,1001,,,,0,7455.0,36.842819,-121.376225
231,220274.0,220274.0,440548.0,94040,2.0,2,31.0,1,,0,0,1004,,,,1206,871.0,37.396730999999996,-122.100885
232,652500.0,162900.0,815400.0,95014,2.5,4,47.0,1,M,1,0,1001,,,,1760,7841.0,37.318612,-122.01451
233,85130.0,198638.0,283768.0,94555,2.0,4,28.0,1,G,0,0,1001,,,,1300,7370.0,37.573549,-122.05771899999999
234,59295.0,117563.0,176858.0,94806,2.5,3,53.0,,Y,2,0,1001,,,,1713,5000.0,37.967951,-122.32686
235,255000.0,255000.0,510000.0,94086,2.0,2,16.0,1,G,1,0,1004,,,,1134,1307.0,37.353221,-122.013146
236,366000.0,289000.0,655000.0,95008,3.0,5,48.0,1,G,2,0,1001,,,,1575,5663.0,37.273804999999996,-121.97640000000001
237,84000.0,196000.0,280000.0,94545,2.0,3,49.0,1,G,0,0,1001,,,,1159,5220.0,37.633213,-122.101078
238,80596.0,105269.0,185865.0,95401,2.0,2,29.0,1,,0,1,1001,,1,,1087,6825.0,38.436558999999995,-122.763224
239,33129.0,19420.0,52549.0,94609,1.0,3,100.0,1,G,0,0,1001,,,,1900,4160.0,37.846802,-122.266507
240,202227.0,56773.0,259000.0,94804,1.25,3,73.0,,Y,1,0,1001,,,,1821,5800.0,37.937180999999995,-122.336756
241,34000.0,91000.0,125000.0,94590,2.0,3,21.0,1,,0,0,1004,,,,1058,871.0,38.120179,-122.273843
242,320000.0,80000.0,400000.0,95111,2.0,3,33.0,1,G,2,0,1001,,,,1176,8276.0,37.290349,-121.834124
243,308400.0,205600.0,514000.0,94526,2.0,3,32.0,,Y,2,0,1004,,,,1553,3509.0,37.788453,-121.96589
244,39557.0,133489.0,173046.0,95035,2.5,4,31.0,2,G,2,0,1001,,,,2097,5663.0,37.448356,-121.90598299999999
245,51732.0,125889.0,177621.0,95688,2.5,4,35.0,2,G,2,0,1001,P,Y,,1940,7841.0,38.361027,-122.010794
246,113929.0,147834.0,261763.0,94112,2.0,3,87.0,1,,0,0,1001,,,,1363,1700.0,37.711421,-122.444502
247,59160.0,126786.0,185946.0,95032,1.0,3,61.0,1,G,1,0,1001,,,,1076,7841.0,37.242098,-121.94877199999999
248,49000.0,104000.0,153000.0,94589,2.0,4,32.0,1,G,2,0,1001,,Y,,1391,6098.0,38.148573999999996,-122.264923
249,572361.0,146605.0,718966.0,95051,1.0,2,58.0,1,G,1,0,1001,,,,1172,9148.0,37.347921,-121.977673
250,34070.0,34427.0,68497.0,94118,1.0,0,104.0,2,,0,0,1001,,,,1452,2374.0,37.777212,-122.459874
251,126160.0,292838.0,418998.0,94122,3.0,1,71.0,1,,0,0,1001,,,,2016,3000.0,37.761447,-122.506896
252,40433.0,45819.0,86252.0,95407,2.0,3,82.0,1,,0,1,1008,,,,1525,5.0,38.399049,-122.745995
253,37901.0,84902.0,122803.0,95401,2.0,3,23.0,2,,0,1,1009,,1,,1218,871.0,38.432798,-122.746658
254,40000.0,98000.0,138000.0,94591,1.0,2,20.0,,,0,0,1004,,Y,CND,900,871.0,38.067659,-122.198575
255,121572.0,75706.0,197278.0,94501,1.5,2,114.0,1,G,0,0,1001,,,,2182,4387.0,37.773134,-122.26716
256,80000.0,96000.0,176000.0,95023,0.0,0,,,,0,0,1001,,,,0,6077.0,36.856017,-121.420979
257,59494.0,78463.0,137957.0,94588,2.0,3,41.0,1,G,0,0,1001,,,,1576,6268.0,37.677092,-121.905403
258,699773.0,407245.0,1107018.0,94941,2.5,3,29.0,,Y,2,1,1001,,,,2123,6804.0,37.889765,-122.541642
259,111100.0,259400.0,370500.0,94578,1.0,3,55.0,1,G,0,0,1001,,,,1396,5130.0,37.695451,-122.140976
260,116101.0,163831.0,279932.0,95037,2.0,3,23.0,1,G,0,0,1001,,,,1600,5227.0,37.131623,-121.657769
261,380000.0,240000.0,620000.0,94947,2.0,3,49.0,,Y,1,1,1001,P,,,1354,16269.0,38.096817,-122.589302
262,80402.0,191345.0,271747.0,95135,2.5,4,24.0,1,G,2,0,1001,,,,1990,7841.0,37.310795999999996,-121.782774
263,99437.0,95700.0,195137.0,95126,1.0,2,89.0,1,,0,0,1001,,,,1073,7405.0,37.326223,-121.91756
264,37104.0,72201.0,109305.0,94595,2.0,3,51.0,,Y,2,0,1001,,,,1375,23130.0,37.880902,-122.06015099999999
265,25000.0,100000.0,125000.0,94518,1.0,2,67.0,,Y,1,0,1001,,,,788,4950.0,37.973805999999996,-122.023725
266,66956.0,211219.0,278175.0,94534,2.5,4,11.0,2,G,2,0,1001,,Y,,2308,5227.0,38.220144,-122.151297
267,453853.0,198514.0,652367.0,94556,2.5,3,49.0,,Y,2,0,1001,,,,1756,9000.0,37.825679,-122.122514
268,69581.0,132830.0,202411.0,95020,2.0,3,24.0,1,G,2,0,1001,,,,1404,5663.0,37.01929,-121.594976
269,96000.0,224000.0,320000.0,94560,2.0,3,54.0,1,G,0,0,1001,,,,995,5000.0,37.540734,-122.028815
270,27763.0,36384.0,64147.0,94580,2.0,3,54.0,1,G,0,0,1001,,,,1370,5060.0,37.670103999999995,-122.146378
271,80437.0,96122.0,176559.0,95051,2.0,3,49.0,1,G,1,0,1001,,,,1095,5663.0,37.369554,-121.988147
272,197381.0,460556.0,657937.0,94611,2.0,4,45.0,2,C,0,0,1001,,,,1670,7836.0,37.823266,-122.199865
273,36266.0,113560.0,149826.0,94806,1.5,3,24.0,,Y,2,0,1001,,,,1769,4000.0,37.972054,-122.347002
274,96728.0,126455.0,223183.0,95037,2.5,3,69.0,1,G,4,0,1001,,,,2242,4.46,37.068602999999996,-121.662627
275,126900.0,296100.0,423000.0,94544,2.5,3,14.0,1.5,G,2,0,1001,,,,1612,6568.0,37.628965,-122.05814699999999
276,379409.0,393051.0,772460.0,94133,2.0,0,68.0,2,,0,0,1110,,,,3507,2622.0,37.803608,-122.407332
277,25133.0,0.0,25133.0,94551,0.0,0,,,,0,0,8001,,,,0,1993.0,37.684069,-121.779235
278,75799.0,123553.0,199352.0,95121,2.0,4,35.0,1,G,2,0,1001,,,,1478,6098.0,37.300444999999996,-121.811563
279,688310.0,472637.0,1160947.0,94507,2.5,5,30.0,,Y,2,0,1009,P,,,2518,17600.0,37.848400000000005,-121.975008
280,21514.0,19039.0,40553.0,94608,1.0,2,87.0,1.5,G,0,0,1001,,,,1147,4173.0,37.833658,-122.277057
281,1.0,0.0,1.0,94941,0.0,0,,,,0,0,8001,,,,0,1412.0,37.90021,-122.548305
282,20182.0,11804.0,31986.0,94608,1.0,2,99.0,1,G,0,0,1001,,,,985,5200.0,37.840457,-122.271877
283,18278.0,48741.0,67019.0,94566,2.0,4,39.0,1,G,0,0,1001,,,,1584,6600.0,37.659559,-121.851006
284,17324.0,59116.0,76440.0,94560,2.0,3,45.0,1,G,0,0,1001,,,,1730,8960.0,37.531898999999996,-122.04656299999999
285,44587.0,107018.0,151605.0,95405,2.0,2,25.0,2,,0,1,1009,,1,,1326,1258.0,38.451039,-122.668531
286,157146.0,241440.0,398586.0,95119,2.0,4,37.0,1,G,2,0,1001,,,,2010,5663.0,37.230191999999995,-121.794146
287,236506.0,113824.0,350330.0,95117,1.5,3,55.0,1,G,1,0,1001,,,,1225,9148.0,37.32192,-121.95082
288,51726.0,122755.0,174481.0,95404,1.0,3,89.0,1,,0,1,1001,,1,,1379,7405.0,38.44746,-122.704549
289,1.0,0.0,1.0,94939,0.0,0,,,,0,0,8001,,,,0,15159.0,37.941613,-122.536878
290,299068.0,326432.0,625500.0,94582,2.5,3,16.0,,Y,2,0,1009,,,,2200,3400.0,37.773348999999996,-121.94788
291,466600.0,125700.0,592300.0,95124,3.5,3,57.0,1,G,2,0,1001,,,,1544,9583.0,37.250934,-121.918893
292,247988.0,326104.0,574092.0,95037,3.5,4,11.0,1,G,2,0,1001,,,,2827,10019.0,37.162304,-121.64818199999999
293,92995.0,216989.0,309984.0,94538,2.0,3,52.0,1,G,0,0,1001,,,,1638,7215.0,37.52765,-121.96071599999999
294,541216.0,293879.0,835095.0,94086,2.5,3,5.0,2,Y,1,0,1001,,,,1516,2614.0,37.375876999999996,-122.047313
295,92994.0,122877.0,215871.0,94928,2.0,3,25.0,2,,0,1,1001,,1,,1358,5050.0,38.366747,-122.68219500000001
296,29124.0,78793.0,107917.0,94598,2.5,3,36.0,,Y,2,0,1004,,,PUD,1812,2448.0,37.929953,-122.044155
297,91500.0,213500.0,305000.0,94550,2.0,2,25.0,1,G,0,0,1001,,,,967,4778.0,37.691871,-121.72776400000001
298,224097.0,273118.0,497215.0,94960,3.0,3,47.0,,Y,2,1,1001,,,,2128,12915.0,37.993634,-122.577026
299,666014.0,444009.0,1110023.0,94118,1.0,2,70.0,1,,0,0,1001,,,,1150,1950.0,37.77595,-122.45395500000001
300,438400.0,109600.0,548000.0,94085,2.0,3,67.0,1,G,1,0,1001,,,,1157,3485.0,37.383731999999995,-122.027076
301,263100.0,175400.0,438500.0,95148,2.5,3,11.0,2,G,2,0,1001,,,,1645,3485.0,37.317220999999996,-121.805451
302,47000.0,0.0,47000.0,94806,0.0,0,,,,0,0,8001,,,,0,5760.0,37.955912999999995,-122.351835
303,110395.0,114435.0,224830.0,94954,1.0,2,39.0,1,,0,1,1001,,1,,1151,5663.0,38.240685,-122.606976
304,133057.0,187683.0,320740.0,95409,2.0,3,48.0,1,,0,1,1001,,1,,1545,9800.0,38.469702999999996,-122.645043
305,400000.0,200000.0,600000.0,94901,2.0,3,55.0,,Y,2,1,1001,,,,1188,6250.0,37.959202,-122.518876
306,211500.0,113250.0,324750.0,95492,2.0,4,49.0,1,,0,1,1001,,,,1352,37026.0,38.536007999999995,-122.793643
307,101436.0,118342.0,219778.0,94960,2.0,3,57.0,,,0,2,1101,,,,1676,5440.0,37.976895,-122.554933
308,21879.0,54396.0,76275.0,94596,2.0,3,53.0,,Y,1,0,1001,,,,1580,12880.0,37.880106,-122.035413
309,145250.0,218000.0,363250.0,95405,2.0,3,41.0,1,,0,1,1001,,1,,1780,6120.0,38.439046999999995,-122.66649
310,1349631.0,787283.0,2136914.0,94558,2.0,2,32.0,,Y,2,0,1008,,Y,,2155,5.1500001,38.367264999999996,-122.266828
311,134077.0,172986.0,307063.0,94602,3.5,3,85.0,1.5,G,1,0,1001,,,,2526,3200.0,37.801745,-122.225777
312,52191.0,70488.0,122679.0,94123,1.0,0,77.0,1,,0,0,1001,,,,2245,2495.0,37.804339999999996,-122.434033
313,27988.0,29321.0,57309.0,94580,1.5,3,55.0,1,G,0,0,1001,,,,1078,5700.0,37.670801,-122.139499
314,72236.0,168217.0,240453.0,94513,2.0,2,13.0,,Y,2,0,1009,,,,1524,5130.0,37.92843,-121.72296
315,1220389.0,1156716.0,2377105.0,94306,4.5,5,4.0,2,G,2,0,1001,,,,3020,9583.0,37.414927,-122.130314
316,56542.0,131932.0,188474.0,94609,1.0,2,94.0,1,G,0,0,1001,,,,1171,4620.0,37.842259999999996,-122.267292
317,533000.0,630000.0,1163000.0,94952,4.0,4,21.0,2,,0,1,1008,,1,,4677,2.79,38.25186,-122.713308
318,108239.0,162367.0,270606.0,94087,2.0,3,48.0,1,G,2,0,1001,,,,1312,6098.0,37.341681,-122.01633
319,847406.0,504861.0,1352267.0,95070,3.0,5,37.0,2,G,2,0,1001,P,,,2754,13068.0,37.282596999999996,-122.008047
320,120471.0,474550.0,595021.0,94558,0.0,0,,,,0,0,1008,,,,0,98.949997,38.509966999999996,-122.193189
321,67000.0,224000.0,291000.0,95620,2.0,4,15.0,1,G,2,0,1001,,Y,,1837,7841.0,38.460502,-121.830299
322,135648.0,138256.0,273904.0,95008,2.5,3,25.0,2,G,2,0,1004,P,,,1753,1307.0,37.263692999999996,-121.94602
323,61000.0,217000.0,278000.0,94589,2.5,4,29.0,2,G,2,0,1001,,Y,,2410,9583.0,38.150711,-122.233378
324,21331.0,32814.0,54145.0,95051,2.0,3,55.0,1,G,1,0,1001,,,,1414,4792.0,37.34738,-121.968602
325,116714.0,129760.0,246474.0,95035,2.0,4,53.0,1,G,1,0,1001,,,,1154,6970.0,37.430377,-121.878025
326,21509.0,64570.0,86079.0,94509,2.0,4,32.0,,Y,2,0,1001,,,,1595,6305.0,37.984058999999995,-121.834822
327,280000.0,122500.0,402500.0,95132,2.5,4,45.0,1,G,1,0,1001,,,,1320,6098.0,37.412988,-121.864003
328,963353.0,541210.0,1504563.0,94946,2.0,4,32.0,,,0,1,1001,,,,1988,10.43,38.03619,-122.639821
329,161483.0,376794.0,538277.0,94709,1.0,3,88.0,1,G,0,0,1001,,,,1309,3920.0,37.884574,-122.26422099999999
330,63000.0,199000.0,262000.0,94589,3.0,4,19.0,2,G,2,0,1001,,Y,,1774,6970.0,38.144143,-122.225232
331,15217.0,21035.0,36252.0,94114,1.0,0,,,,0,0,1004,,,,758,1986.0,37.755361,-122.430867
332,341875.0,368873.0,710748.0,95037,3.0,4,31.0,2,G,2,0,1001,,,,2649,1.6,37.184287999999995,-121.716935
333,22044.0,25101.0,47145.0,94112,1.0,3,63.0,1,,0,0,1001,,,,970,2421.0,37.732068999999996,-122.420617
334,87600.0,204400.0,292000.0,94551,2.0,2,46.0,1,G,0,0,1009,,,,1036,6000.0,37.709579,-121.739393
335,136000.0,166000.0,302000.0,94558,1.5,4,44.0,,Y,2,0,1001,,Y,,1553,6970.0,38.316765,-122.322349
336,16750.0,56340.0,73090.0,94952,3.0,3,80.0,1,,0,1,1001,,1,,1579,5000.0,38.23186,-122.649828
337,6358.0,106661.0,113019.0,95023,0.0,0,,,,0,0,1001,,,,0,10584.0,36.828481,-121.378123
338,25994.0,31383.0,57377.0,94112,1.0,0,76.0,2,,0,0,1001,,,,3100,1873.0,37.722994,-122.440479
339,250354.0,145506.0,395860.0,94596,2.0,3,54.0,,,0,0,1001,,,,1688,22601.0,37.877489,-122.032473
340,119066.0,162193.0,281259.0,94087,2.0,4,48.0,1,M,1,0,1001,,,,1553,6534.0,37.345994999999995,-122.018897
341,85324.0,189674.0,274998.0,94087,3.0,4,55.0,1,G,1,0,1001,,,,2008,12632.0,37.362037,-122.059911
342,445707.0,0.0,445707.0,95037,0.0,0,,,,0,0,1001,,,,0,2.3499999,0.0,0.0
343,159278.0,102222.0,261500.0,94564,2.0,3,45.0,,Y,2,0,1001,,,,1211,6200.0,37.998697,-122.308583
344,6719.0,53561.0,60280.0,94621,1.0,3,82.0,1,,0,0,1001,,,,1128,2940.0,37.755320999999995,-122.18499299999999
345,35465.0,119333.0,154798.0,94558,2.0,3,27.0,,,0,0,1008,,Y,,1716,16.0,38.441178,-122.302471
346,12359.0,50217.0,62576.0,95121,2.0,3,39.0,1,G,2,0,1001,,,,1406,5663.0,37.31124,-121.835329
347,119200.0,180800.0,300000.0,95110,1.0,1,4.0,1,G,2,0,1004,,,,914,5227.0,37.363759,-121.913932
348,35700.0,0.0,35700.0,96001,0.0,0,,,,0,0,8001,,,,0,24394.0,40.522462,-122.363591
349,199176.0,220824.0,420000.0,94521,2.0,3,41.0,,Y,2,0,1001,P,,,1555,8000.0,37.950561,-121.962853
350,39419.0,129934.0,169353.0,94585,2.0,4,23.0,1,G,2,0,1001,,Y,,1766,7405.0,38.252744,-121.9881
351,79398.0,170231.0,249629.0,94608,2.0,5,102.0,2,,0,2,1102,,,,2054,7000.0,37.844908,-122.28756
352,694373.0,373989.0,1068362.0,94109,2.0,3,,2,,0,0,1001,,,,1995,2748.0,37.789224,-122.424521
353,39419.0,85663.0,125082.0,94589,2.0,3,50.0,1,G,2,0,1001,,Y,,1102,6970.0,38.142244,-122.256751
354,369533.0,162967.0,532500.0,94598,2.0,4,45.0,,Y,1,0,1001,,,,1959,11070.0,37.930637,-122.034863
355,50395.0,52727.0,103122.0,94116,1.0,0,63.0,1,,0,0,1001,,,,1214,3000.0,37.748947,-122.502796
356,251918.0,430652.0,682570.0,94521,3.0,5,29.0,,Y,2,0,1001,,,,3298,33015.0,37.964802999999996,-121.961567
357,10742.0,69771.0,80513.0,95037,2.0,3,33.0,1,G,2,0,1001,,,,1308,436.0,37.099126,-121.643085
358,92776.0,103603.0,196379.0,95008,1.5,3,52.0,1,G,2,0,1001,,,,1285,9148.0,37.289539,-121.962757
359,30299.0,25455.0,55754.0,94114,1.0,2,101.0,1,,0,0,1001,,,,1030,2848.0,37.754132,-122.438612
360,32275.0,63495.0,95770.0,94303,2.0,4,53.0,1,G,1,0,1001,,,,1834,5663.0,37.427202,-122.110739
361,27337.0,101349.0,128686.0,94804,3.0,3,32.0,,Y,2,0,1001,,,,2206,5800.0,37.923148,-122.34740099999999
362,108544.0,57956.0,166500.0,94806,1.0,3,58.0,,Y,1,0,1001,,,,1163,3750.0,37.950513,-122.347962
363,399488.0,99870.0,499358.0,94089,2.0,3,52.0,1,G,1,0,1001,,,,1108,5663.0,37.398171999999995,-122.006935
364,295000.0,300000.0,595000.0,94513,0.0,0,31.0,,,0,0,1008,,,,2225,9.7700005,37.897838,-121.667149
365,136777.0,319147.0,455924.0,94501,1.5,3,59.0,1,G,0,0,1001,,,,1540,5175.0,37.756274999999995,-122.225803
366,116746.0,272693.0,389439.0,94552,2.0,3,11.0,1,G,2,0,1009,,,,1580,4700.0,37.714611,-122.015834
367,86804.0,126874.0,213678.0,95122,2.0,3,50.0,1,G,1,0,1001,,,,1121,6098.0,37.329879,-121.835464
368,224375.0,204805.0,429180.0,94131,2.0,2,53.0,1,,0,0,1001,,,,1524,3628.0,37.750744,-122.450189
369,100047.0,40953.0,141000.0,94801,1.0,3,65.0,,Y,2,0,1001,,,,1058,5000.0,37.948961,-122.35198
370,341700.0,127500.0,469200.0,95121,2.0,4,33.0,1,G,2,0,1001,,,,1594,6534.0,37.305191,-121.827486
371,148351.0,234345.0,382696.0,95148,3.0,4,25.0,2,G,2,0,1001,,,,2111,6970.0,37.328393,-121.786951
372,14323.0,68508.0,82831.0,94591,1.0,2,21.0,1,,0,0,1004,,Y,,307400,871.0,38.126117,-122.223161
373,201093.0,307677.0,508770.0,95032,2.5,4,46.0,1,G,2,0,1001,P,,,2146,10454.0,37.233306999999996,-121.951959
374,37000.0,333000.0,370000.0,94513,3.0,4,4.0,,Y,2,0,1001,P,,,3092,7920.0,37.946376,-121.716535
375,205357.0,136904.0,342261.0,94043,1.0,2,45.0,1,C,0,0,1004,P,,,894,1742.0,37.398184,-122.06602
376,62000.0,168000.0,230000.0,94585,2.0,3,17.0,1,G,2,0,1001,,Y,,1434,5663.0,38.250918999999996,-121.981377
377,240000.0,560000.0,800000.0,94566,2.0,3,109.0,1.5,G,2,0,1001,,,,1798,4500.0,37.66057,-121.870829
378,46667.0,198333.0,245000.0,94513,3.0,4,5.0,,Y,2,0,1001,,,,2257,4840.0,37.952875999999996,-121.691935
379,24620.0,59800.0,84420.0,94510,2.0,2,66.0,1,G,1,0,1001,,,,1411,10890.0,38.059351,-122.163046
380,61758.0,231742.0,293500.0,94513,3.0,4,15.0,,Y,2,0,1001,,,,2321,7670.0,37.923913,-121.718255
381,52334.0,86166.0,138500.0,94509,2.0,3,41.0,,Y,2,0,1001,,,,1502,7360.0,37.992053,-121.828332
382,206401.0,326664.0,533065.0,94582,3.0,4,14.0,,Y,2,0,1001,,,,2565,6750.0,37.786119,-121.920014
383,63240.0,124776.0,188016.0,95620,2.0,3,13.0,1,G,2,0,1001,,Y,,1304,4792.0,38.436277,-121.819199
384,41082.0,15045.0,56127.0,94606,4.0,3,124.0,2,,0,0,1001,,,,2596,11250.0,37.794571,-122.24404200000001
385,37301.0,70846.0,108147.0,94134,2.0,0,34.0,1,,0,0,1001,,,,1425,2996.0,37.727633999999995,-122.415774
386,153782.0,358826.0,512608.0,94502,3.0,4,20.0,1.5,G,0,0,1001,,,,2335,6095.0,37.743232,-122.253276
387,210093.0,117648.0,327741.0,95124,2.0,3,50.0,1,G,2,0,1001,,,,1527,6098.0,37.263346999999996,-121.938932
388,831800.0,302400.0,1134200.0,94087,2.0,4,53.0,1,G,2,0,1001,,,,2370,9583.0,37.351220999999995,-122.050727
389,1002834.0,424480.0,1427314.0,94941,2.5,3,57.0,,Y,2,1,1001,,,,1592,21120.0,37.909408,-122.552866
390,23048.0,107229.0,130277.0,94530,2.5,1,86.0,,Y,1,0,1001,,,,1940,8800.0,37.915214,-122.29459800000001
391,57754.0,233257.0,291011.0,95132,4.0,6,36.0,2,G,2,0,1001,P,,,2427,5663.0,37.393587,-121.860299
392,84294.0,150706.0,235000.0,94531,3.0,4,21.0,,Y,2,0,1001,,,,2144,6000.0,37.96667,-121.762287
393,106423.0,196083.0,302506.0,94547,3.0,4,29.0,,Y,2,0,1001,,,,2409,8772.0,38.002038,-122.25124199999999
394,10937.0,28634.0,39571.0,94533,1.0,3,50.0,1,G,1,0,1001,,Y,,1014,6098.0,38.243196999999995,-122.054607
395,24288.0,97253.0,121541.0,94587,3.0,4,6.0,2,G,3,0,1001,,,,3040,4637.0,37.592365,-122.04542599999999
396,24733.0,81842.0,106575.0,94596,2.0,3,42.0,,Y,2,0,1001,,,,2704,28000.0,37.897037,-122.040308
397,118808.0,276692.0,395500.0,94565,3.0,4,5.0,,Y,2,0,1001,,,,2654,5800.0,38.012978,-121.960028
398,57783.0,53217.0,111000.0,94804,1.0,2,57.0,,Y,1,0,1001,,,,855,2500.0,37.946939,-122.34169
399,260900.0,260900.0,521800.0,95014,1.0,2,38.0,2,,0,0,1004,,,,1003,436.0,37.31482,-122.041843
400,64665.0,150903.0,215568.0,95148,2.0,4,27.0,1,G,2,0,1001,,,,1783,7841.0,37.349368999999996,-121.789605
401,3794.0,28471.0,32265.0,94041,1.5,2,29.0,1,C,0,0,1004,P,,,1000,2178.0,37.379059,-122.065527
402,67000.0,123000.0,190000.0,94589,2.0,3,15.0,1,G,2,0,1001,,Y,,1310,4792.0,38.144421,-122.219165
403,35868.0,42859.0,78727.0,94117,3.0,0,101.0,2,,0,0,1110,,,,2900,2495.0,37.765193,-122.452812
404,113405.0,85964.0,199369.0,94550,1.0,3,58.0,1,G,0,0,1001,,,,1140,6220.0,37.67397,-121.777749
405,100572.0,9428.0,110000.0,94806,1.0,2,82.0,,Y,1,0,1001,,,,836,5000.0,37.976437,-122.349443
406,112523.0,262555.0,375078.0,94566,2.5,3,20.0,1.5,G,0,0,1001,,,,1651,3500.0,37.666411,-121.848102
407,65719.0,182442.0,248161.0,94533,2.0,4,20.0,1,G,2,0,1001,,Y,,2127,7841.0,38.287946999999996,-122.016396
408,40000.0,121000.0,161000.0,94510,2.5,2,20.0,,G,1,0,1004,,Y,,1104,871.0,38.049802,-122.141076
409,79977.0,206401.0,286378.0,94583,2.5,4,31.0,,Y,2,0,1004,,,,1965,2210.0,37.765226,-121.975967
410,324840.0,203554.0,528394.0,95129,2.0,3,50.0,1,G,2,0,1001,,,,1280,5663.0,37.298165999999995,-122.009523
411,51216.0,28749.0,79965.0,94618,1.5,3,97.0,1.5,C,0,0,1001,,,,2497,8480.0,37.842575,-122.230296
412,29932.0,20958.0,50890.0,94116,1.0,0,84.0,1,,0,0,1001,,,,805,3200.0,37.739789,-122.479576
413,75799.0,60634.0,136433.0,94112,1.0,0,86.0,1,,0,0,1001,,,,1054,2452.0,37.712317,-122.432937
414,94598.0,55302.0,149900.0,94801,1.0,2,81.0,,Y,1,0,1001,,,2ND,1159,5000.0,37.944406,-122.35237000000001
415,224943.0,365533.0,590476.0,95405,3.0,4,25.0,2,,0,1,1001,,1,,2316,9000.0,38.438534,-122.651727
416,45717.0,122228.0,167945.0,94553,2.5,4,31.0,,Y,2,0,1001,,,,2272,6600.0,37.984895,-122.104693
